Name,District,State,Address,Contact Number,Contact number 2,Location:latitude ,Location: longitude
Patharkandi Police Station,Karimganj,Assam,"J848+585, Lakshmipur Rd, Patharkandi, Assam 788724",3843255429,9435109891,24.6054090386197,92.3158387266107
RAMKRISHNA NAGAR POLICE STATION,Karimganj,Assam,"HF98+C96, Ramkrishna Nagar, Kalinagar Pt II, Thana Rd, Guwahati, Assam 788166",9401699015,9957207648,24.5685949794983,92.4658820975417
Nilambazar Police Station,Karimganj,Assam,"P9X3+3WG, Nilambazar, Assam 788722",8812029507,,24.7476688509706,92.3548396658698
Bazaricherra police station,Karimganj,Assam,"C8Q9+W48, Bazaricherra, Assam 788727",8474020029,9435191518,24.4397990773406,92.3178242261807
Bagribari Police Station,Kokrajhar,Assam,"National Highway 31, Mahamaya Parbatjhora Road, Bogribari, Assam 783349",8811029075,,26.2031146338868,90.1329689154398
Fakiragram Police Station,Kokrajhar,Assam,"95CG+287, Gosaigaon - Chautara - Fakiragram Rd, Kharida Chandala II, Assam 783345",8811029072,,26.3700607799247,90.1759005882111
Kachugaon Police Station,Kokrajhar,Assam,"H38F+92C, Kachugaon F.V., Assam 783350",8811029074,,26.5659533820891,90.0725283315688
Dotma Police Station,Kokrajhar,Assam,"F48W+X4W, Dotma Main Road, Dotma Bazar, Nawarbhita, Assam 783347",8811029073,,26.4675099544789,90.1453144942557
Serfanguri Police Station,Kokrajhar,Assam,"H532+5WF, Kolobari, Assam 783346",8811029077,,26.5529607750940,90.1523540327799
Gossaigaon Police Station,Kokrajhar,Assam,"Ward No 2, DK Rd, dist, Gossaigaon, Assam 783360",8811029071,,26.4380551699839,89.9817238187246
Kazigaon Police Station,Kokrajhar,Assam,"6X6W+2P4, Kazigaon, Gambhira Khata Pt.I, Assam 783339",8811029076,,26.2100278279735,89.9968009531522
Kokrajhar Police Station,Kokrajhar,Assam,"National Highway 31, Vivekananda Path, Kokrajhar, 783370",8811029070,,26.3991163060202,90.2669838335512
North Lakhimpur Sadar Police Station, Lakhimpur,Assam,"64Q2+FHC, North Lakhimpur, Assam 787001",8812052020,,27.2386969713743,94.1013863249595
Dhakuakhana Police Station, Lakhimpur,Assam,"Ghilamara Butikur Road, Dhakuakhana, Assam, 787055",9401544900,,27.2027900110418,94.4434003237514
Bihpuria Police Station, Lakhimpur,Assam,"2W88+RM3, Bihpuria, Assam 784161",9678609007,,27.0170187106350,93.9166565142800
Laluk Police Station, Lakhimpur,Assam,"4WFQ+G3, Laluk, Assam 784160",8876442260,,27.1243383226616,93.9339122175506
Boginodi Police Station, Lakhimpur,Assam,"955J+QFP, Na-Ali Bhatia, Assam 787032",7896895705,,27.3595112659657,94.1812299549905
Ghilamara Police Station, Lakhimpur,Assam,"8C76+88J, Ghilamara 1/2, Assam 787053",9365417441,,27.3133550588477,94.4108389606510
Panigaon Police Station, Lakhimpur,Assam,"44X6+VCQ, Bakal, Assam 787052",9954760496,,27.1497406639316,94.1109324067344
